condition,metric,target,type,n,spearman_rho,spearman_p,abs_rho
no_atp,ptm,titer,individual,16,0.19278886749847268,0.4743894151031529,0.19278886749847268
no_atp,iptm,titer,individual,16,0.16188378186894656,0.5491853378865109,0.16188378186894656
no_atp,ligand_iptm,titer,individual,16,0.16188378186894656,0.5491853378865109,0.16188378186894656
no_atp,chain_ptm_S_substrate2,titer,individual,16,0.15305375740336766,0.5714582023783741,0.15305375740336766
no_atp,pair_iptm_S_substrate2__S_substrate2,titer,individual,16,0.15305375740336766,0.5714582023783741,0.15305375740336766
no_atp,pair_iptm_A_protein__L_substrate,titer,individual,16,0.09860193986563108,0.7163796723063032,0.09860193986563108
no_atp,frac_active_site,titer,individual,16,0.0891788756959721,0.7425830365338333,0.0891788756959721
no_atp,chain_ptm_A_protein,titer,individual,16,0.08682857391152587,0.7491614107021848,0.08682857391152587
no_atp,complex_pde,titer,individual,16,0.07064019572463123,0.7948914247688719,0.07064019572463123
no_atp,complex_ipde,titer,individual,16,-0.042678451583631365,0.8752951396111206,0.042678451583631365
no_atp,chain_ptm_L_substrate,titer,individual,16,0.03384842711805246,0.9009625881945321,0.03384842711805246
no_atp,pair_iptm_L_substrate__L_substrate,titer,individual,16,0.03384842711805246,0.9009625881945321,0.03384842711805246
no_atp,composite(-entrance+chain_ptm_S_substrate2),titer (Ki-subset),composite,5,-0.6,0.28475697986529375,0.6
no_atp,composite(-entrance+pair_iptm_S_substrate2__S_substrate2),titer (Ki-subset),composite,5,-0.6,0.28475697986529375,0.6
no_atp,composite(-entrance+pair_iptm_L_substrate__S_substrate2),titer (Ki-subset),composite,5,-0.49999999999999994,0.39100221895577053,0.49999999999999994
no_atp,composite(-entrance+complex_pde),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_atp,composite(-entrance+complex_ipde),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_atp,composite(-entrance+pair_iptm_A_protein__S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_atp,composite(-entrance+mean_entrance_contacts),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
no_atp,frac_entrance,titer (Ki-subset),individual,5,0.28867513459481287,0.6376180914006018,0.28867513459481287
no_atp,composite(-entrance+ptm),titer (Ki-subset),composite,5,-0.19999999999999998,0.747060078104662,0.19999999999999998
no_atp,composite(-entrance+chain_ptm_A_protein),titer (Ki-subset),composite,5,-0.19999999999999998,0.747060078104662,0.19999999999999998
no_atp,composite(-entrance+confidence_score),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+iptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+ligand_iptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+complex_plddt),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+complex_iplddt),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+chain_ptm_L_substrate),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+pair_iptm_A_protein__L_substrate),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+pair_iptm_L_substrate__L_substrate),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+median_dist),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
no_atp,composite(-entrance+mean_dist),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_atp,composite(-entrance+mean_contacts),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_atp,composite(-entrance+mean_mg_s_dist),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_cofactor,median_dist,titer,individual,16,-0.40765279616089267,0.11703771694686249,0.40765279616089267
no_cofactor,chain_ptm_A_protein,titer,individual,16,0.3473142956461035,0.18748776319768082,0.3473142956461035
no_cofactor,ptm,titer,individual,16,0.34289928341331405,0.19353772308038864,0.34289928341331405
no_cofactor,chain_ptm_L_substrate,titer,individual,16,0.3399559419247878,0.19764090965476153,0.3399559419247878
no_cofactor,pair_iptm_L_substrate__L_substrate,titer,individual,16,0.3399559419247878,0.19764090965476153,0.3399559419247878
no_cofactor,pair_iptm_A_protein__S_substrate2,titer,individual,16,0.33112591745920883,0.21028754589928556,0.33112591745920883
no_cofactor,mean_entrance_contacts,titer,individual,16,0.32498166524886357,0.21938725156574215,0.32498166524886357
no_cofactor,complex_plddt,titer,individual,16,-0.31493753927231416,0.234795138020984,0.31493753927231416
no_cofactor,chain_ptm_S_substrate2,titer,individual,16,0.2516556972689987,0.34710363587633475,0.2516556972689987
no_cofactor,pair_iptm_S_substrate2__S_substrate2,titer,individual,16,0.2516556972689987,0.34710363587633475,0.2516556972689987
no_cofactor,mean_contacts,titer,individual,16,0.24336309656549815,0.36374580928303724,0.24336309656549815
no_cofactor,complex_ipde,titer,individual,16,-0.23105230684931463,0.3892505371419811,0.23105230684931463
no_cofactor,complex_iplddt,titer,individual,16,-0.2295806361050515,0.3923625400891416,0.2295806361050515
no_cofactor,pair_iptm_A_protein__L_substrate,titer,individual,16,0.21633559940668312,0.42096645620030626,0.21633559940668312
no_cofactor,complex_pde,titer,individual,16,-0.2045622334525779,0.4472751519912378,0.2045622334525779
no_cofactor,frac_active_site,titer,individual,16,-0.1911923397558461,0.4781267924531165,0.1911923397558461
no_cofactor,frac_close,titer,individual,16,-0.1738112179598601,0.5197198085501246,0.1738112179598601
no_cofactor,iptm,titer,individual,16,0.17218547707878862,0.5236929036366568,0.17218547707878862
no_cofactor,ligand_iptm,titer,individual,16,0.17218547707878862,0.5236929036366568,0.17218547707878862
no_cofactor,pair_iptm_L_substrate__S_substrate2,titer,individual,16,0.057395159026262875,0.8327854556156655,0.057395159026262875
