condition,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman,target
no_atp,complex_plddt,18,-0.1771539359882362,0.481909038773792,-0.1406414590303371,0.5777781273749083,0.1406414590303371,kcat
no_atp,frac_active_site,18,-0.18958917200203662,0.45115738864827243,-0.13268153189431225,0.5996961254289443,0.13268153189431225,kcat
no_atp,pair_iptm_A_protein__L_substrate,18,0.038456585539010144,0.8795818177388653,-0.11892476315065267,0.6383504066096861,0.11892476315065267,kcat
no_atp,frac_entrance,18,-0.004092795577291988,0.9871405712071523,-0.08313447776468363,0.7429445156905512,0.08313447776468363,kcat
no_atp,mean_contacts,18,-0.060338464929818994,0.8120111778597773,-0.0797721556853456,0.7530281788806462,0.0797721556853456,kcat
no_atp,chain_ptm_L_substrate,18,0.12050733200123781,0.6338557606175621,-0.07859375651695308,0.756571330102204,0.07859375651695308,kcat
no_atp,pair_iptm_L_substrate__L_substrate,18,0.12050733200123781,0.6338557606175621,-0.07859375651695308,0.756571330102204,0.07859375651695308,kcat
no_atp,mean_entrance_contacts,18,0.020506859456353027,0.9356287829238882,-0.05549795517142552,0.8268667333843254,0.05549795517142552,kcat
no_atp,median_dist,18,0.02597288710595954,0.9185191558515937,-0.01654605400356907,0.9480440061516823,0.01654605400356907,kcat
no_atp,chain_ptm_S_substrate2,18,-0.06318471184754479,0.8033041338808384,0.0031023851256692,0.9902522461199659,0.0031023851256692,kcat
no_atp,pair_iptm_S_substrate2__S_substrate2,18,-0.06318471184754479,0.8033041338808384,0.0031023851256692,0.9902522461199659,0.0031023851256692,kcat
no_cofactor,complex_plddt,18,-0.2570993726813974,0.303049255638593,-0.34746713407495045,0.15770827522244543,0.34746713407495045,kcat
no_cofactor,complex_iplddt,18,-0.23146262976860832,0.355408199996461,-0.32368218144481986,0.19009788960772442,0.32368218144481986,kcat
no_cofactor,confidence_score,18,-0.23192587118621916,0.3544189980916791,-0.26577099243232816,0.28644989865432485,0.26577099243232816,kcat
